Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
2006,2015-02-05,Culture Machine,Unknown,Unknown,Unknown,"Tiger Global, Times Iteret, Zodius Capital",Private Equity,18000.0,1584000.0,Series B,Other
2007,2015-02-05,Aisle.co,Unknown,Unknown,Unknown,"Aad Vijay, Shashak Mehrotra & Others",Seed Funding,100.0,8800.0,No Remark,Other
2008,2015-02-06,FreeCharge,Unknown,Unknown,Unknown,"Valiat Capital, Tyboure Capital, Sequoia Capital, RuNet ad Sofia",Private Equity,80000.0,7040000.0,Series C,Other
2009,2015-02-06,NewsHunt,Unknown,Unknown,Unknown,"Falco Edge Capital, Matrix Parters Idia, Sequoia Capital Idia ad Omidyar Network",Private Equity,40000.0,3520000.0,Series C,Other
2010,2015-02-09,MyNoticePeriod,Unknown,Unknown,Unknown,IDG Vetures,Private Equity,3000.0,264000.0,Series A,Other
2011,2015-02-09,Faaso\\\\xe2\\\\x80\\\\x99s,Unknown,Unknown,Unknown,Lightbox Vetures,Private Equity,20000.0,1760000.0,Series B,Other
2012,2015-02-11,Capital Float,Unknown,Unknown,Unknown,"SAIF Parters, Sequoia Capital, Aspada",Private Equity,13000.0,1144000.0,Series A,Other
2013,2015-02-11,Nimble Wireless,Unknown,Unknown,Unknown,AgelPrime,Seed Funding,3000.0,264000.0,No Remark,Other
2014,2015-02-12,Stayzilla,Unknown,Unknown,Unknown,"Nexus Veture Parters, Matrix Parters",Private Equity,20000.0,1760000.0,Series B,Other
2015,2015-02-12,Practo,Unknown,Unknown,Unknown,"Sequoia Capital, Matrix Parters",Private Equity,30000.0,2640000.0,Series B,Other
2016,2015-02-13,20Dresses,Unknown,Unknown,Unknown,"Sriivas Aluri, Sriivas Modukury, BS Nagesh",Seed Funding,1000.0,88000.0,No Remark,Other
