Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
598,16-06-2017,Goodbox,E-Commerce,Mobile SAAS\\\\xc2\\\\xa0 ECommerce platform for SMEs,Bengaluru,"Nexus Veture Parters, Meki Maheshwari",Private Equity,1000,88000,No Remark,Tier 1 India,2,0
599,16-06-2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Kha, Sameer Naraya & Others",Seed Funding,100,8800,No Remark,Tier 1 India,2,0
600,16-06-2017,Portdesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000,176000,No Remark,Tier 1 India,1,1
601,19-06-2017,Unbxd,Technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Vetures,Private Equity,12500,1100000,No Remark,Tier 1 India,1,1
602,19-06-2017,Darwinbox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed Idia Parters, Ediya Parters, 3oe4 Capital Advisors LLP, Startupxseed Vetures LLP",Private Equity,4000,352000,No Remark,Tier 1 India,4,1
603,20-06-2017,Forevershop,Consumer Internet,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed Funding,300,26400,No Remark,Tier 1 India,1,0
604,20-06-2017,Insider.In,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200,457600,No Remark,Tier 1 India,1,1
605,21-06-2017,Fynd,E-Commerce,Fashion etailer,Mumbai,"IIFL Seed Vetures, Kae Capital, FJ Labs, Sigularity Vetures, GrowX, Tracx Labs, Axis Capital",Private Equity,2400,211200,No Remark,Tier 1 India,7,1
606,21-06-2017,Grow Fit,Consumer Internet,Health-Tech platform,Bengaluru,"Maipal Educatio ad Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500,396000,No Remark,Tier 1 India,3,1
607,21-06-2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215,18920,No Remark,Tier 1 India,1,0
608,21-06-2017,Mswipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fud, Matrix Parters, alco Edge Capital, DSG Cosumer Parters",Private Equity,31000,2728000,No Remark,Tier 1 India,4,1
609,22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bengaluru,"Geeral Catalyst, Fouder Collective",Private Equity,4600,404800,No Remark,Tier 1 India,2,1
610,22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Ediya Parters, Vetureast",Private Equity,2000,176000,No Remark,Tier 1 India,2,1
611,22-06-2017,Explore Life Traveling,Consumer Internet,Local homes booking platform,Bengaluru,"Meki Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500,44000,No Remark,Tier 1 India,4,0
612,23-06-2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, Idia Quotiet, IFMR, ad MAS Fiacial Services Ltd",Private Equity,4000,352000,No Remark,Tier 1 India,4,1
613,23-06-2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Udisclosed ivestors,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
614,26-06-2017,Hug Innovations,Technology,Gesture based\\\\xc2\\\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Gaji, Vekat Vallabhaei, Rajeev Meo",Private Equity,5000,440000,No Remark,Tier 1 India,4,1
615,26-06-2017,Flipkart,E-Commerce,Online marketplace,Bengaluru,Naspers,Private Equity,71000,6248000,No Remark,Tier 1 India,1,1
616,26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfud, RB Iteratioal",Private Equity,4000,352000,No Remark,Tier 1 India,2,1
617,27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Sow Leopard Vetures, Alto Parters",Private Equity,5000,440000,No Remark,Tier 1 India,2,1
618,27-06-2017,Spares Hub,E-Commerce,Automobile parts marketplace,Pune,"The Cheai Agels, Athill Scale Vetures, Esvee Techologies Ic, Ic95 Cosultig",Seed Funding,311,27368,No Remark,Tier 1 India,4,0
619,28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udaya Goyal",Private Equity,3000,264000,No Remark,Tier 1 India,2,1
620,28-06-2017,Niki.Ai,Consumer Internet,AI Based Personal Assistant,Bengaluru,"SAP.iO, Uilazer Vetures",Private Equity,2000,176000,No Remark,Tier 1 India,2,1
621,29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhiav Bidra, Gaurav Marya",Private Equity,1000,88000,No Remark,Tier 1 India,2,0
