Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
929,04-10-2016,Appsdaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Vetures, Russia veture capital fud Ru-Net, Mumbai Agels",Private Equity,3750,330000,No Remark,Tier 1 India,5,1
930,05-10-2016,Ue Lifesciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kira Mazumdar-Shaw, Uitus Seed Fud",Private Equity,1200,105600,No Remark,Tier 1 India,2,1
931,06-10-2016,Realbox,Technology,Data Sciences Platform,Noida,Hyderabad Agels,Seed Funding,300,26400,No Remark,Tier 1 India,1,0
932,06-10-2016,Gozefo,E-Commerce,Used Furniture & Appliances Marketplace,Bengaluru,"Helio Veture Parters, BeeNext",Private Equity,1050,92400,No Remark,Tier 1 India,2,0
933,07-10-2016,Rayiot,Technology,Baby Monitoring Devices manufacturer,Bengaluru,HAX Accelerator,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
934,07-10-2016,Kooh Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faerig Capital, Elevate Sports",Private Equity,2200,193600,No Remark,Tier 1 India,3,1
935,07-10-2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sajay Nayar, Vikram Sud, Ail Jaggia, Naraya Seshadri",Private Equity,15000,1320000,No Remark,Tier 1 India,4,1
936,10-10-2016,Vithi.Com,E-Commerce,Online Hair Extension etailer,New Delhi,udisclosed ivestor,Seed Funding,375,33000,No Remark,Tier 1 India,1,0
937,11-10-2016,Yupp Tv,Consumer Internet,Internet-based TV streaming service provider,Bengaluru,Emerald Media,Private Equity,50000,4400000,No Remark,Tier 1 India,1,1
938,11-10-2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Niti Passi, Maickam Mahaligam, Udaa Agels, Rajesh Arora, Arkas Idustries",Seed Funding,500,44000,No Remark,Tier 1 India,5,0
939,13-10-2016,Faballey,E-Commerce,online fashion brand store,Noida,"Idia Quotiet, FAO Vetures, Idia Agel Network, Tushar Sigh, Raja Sharma",Private Equity,2000,176000,No Remark,Tier 1 India,5,1
940,13-10-2016,Robovac,Technology,waterless car washing solution,Ahmedabad,Viredra Patel,Seed Funding,450,39600,No Remark,Tier 2/3 India,1,0
941,14-10-2016,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Udisclosed,Seed Funding,25,2200,No Remark,Tier 1 India,1,0
942,14-10-2016,Postman,Consumer Internet,API Platform,Bengaluru,Nexus Veture Parters,Private Equity,7000,616000,No Remark,Tier 1 India,1,1
943,14-10-2016,Isfc,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,6000,528000,No Remark,Tier 1 India,1,1
944,15-10-2016,Dailyhunt,Consumer Internet,Vernacular content mobile app,Bengaluru,"ByteDace, Aru Sari, Matrix Parters, Sequoia Capital Idia, Omidyar Network, Falco Edge",Private Equity,25000,2200000,No Remark,Tier 1 India,6,1
945,15-10-2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Cosumer Parters,Seed Funding,227,19976,No Remark,Tier 1 India,1,0
946,15-10-2016,Mykindofjob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayak Shah, Shreyas Shah",Seed Funding,1000,88000,No Remark,Tier 1 India,2,0
947,17-10-2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemat Sahi,Seed Funding,300,26400,No Remark,Tier 1 India,1,0
948,17-10-2016,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,16000,1408000,No Remark,Tier 1 India,1,1
949,18-10-2016,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,150,13200,No Remark,Tier 1 India,1,0
950,18-10-2016,Mysun,Technology,Solar Energy harnessing products marketplace,Noida,Geeral Catalyst Parters,Private Equity,2500,220000,No Remark,Tier 1 India,1,1
951,19-10-2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Bengaluru,"Lightbox Vetures, Axis Capital & Others",Private Equity,30000,2640000,No Remark,Tier 1 India,2,1
952,19-10-2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bengaluru,"Saama Capital, Raghuada G, Aprameya Radhakrisha",Private Equity,1100,96800,No Remark,Tier 1 India,3,0
953,19-10-2016,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Vetures Fud,Private Equity,750,66000,No Remark,Tier 1 India,1,0
954,21-10-2016,Chatongo,Consumer Internet,Hyperlocal\\\\xc2\\\\xa0 Communication Mobile app,Mumbai,Jaak Jai,Seed Funding,300,26400,No Remark,Tier 1 India,1,0
955,24-10-2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
956,24-10-2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Vetures Fud, Mayfield Vetures",Private Equity,7500,660000,No Remark,Tier 1 India,2,1
957,25-10-2016,Kredx,E-Commerce,Invoice discounting marketplace,Bengaluru,Sequoia Capital,Private Equity,6000,528000,No Remark,Tier 1 India,1,1
958,25-10-2016,Creditmate,Consumer Internet,Credit Report Info platform,Mumbai,Idia Quotiet,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
959,25-10-2016,Soopermo,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
960,26-10-2016,Orangetwig,Consumer Internet,Social Media Marketing platform,New Delhi,Udisclosed ivestor,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
961,26-10-2016,The Kettlery,E-Commerce,Online Tea Etailer,Ahmedabad,"hootig Starts Sports LLP, Frachise Idia Brads",Private Equity,1000,88000,No Remark,Tier 2/3 India,2,0
962,27-10-2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Palloji & Co. Ltd.",Private Equity,700,61600,No Remark,Tier 1 India,3,0
963,27-10-2016,Fr8,Technology,Truck Fleet Operation platform,Chennai,Omivore Parters,Private Equity,971,85448,No Remark,Tier 1 India,1,0
964,27-10-2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bengaluru,Hero MotoCorp,Private Equity,27000,2376000,No Remark,Tier 1 India,1,1
965,29-10-2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
966,29-10-2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
967,29-10-2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
968,30-10-2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,"Aari Capital, Michael Herzig, Ashish Lakhapal",Private Equity,750,66000,No Remark,Tier 1 India,3,0
969,31-10-2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karapal Sigh & Others,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
970,01-09-2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Parters,Private Equity,6700,589600,No Remark,Tier 2/3 India,1,1
971,06-09-2016,Eshakti,E-Commerce,Women\\xe2\\x80\\x99s Fashion Apparel eTailer,Chennai,"Ifia Fiace Pvt. Ltd, Uday Kotak",Private Equity,1350,118800,No Remark,Tier 1 India,2,1
972,06-09-2016,Cheersoye,Consumer Internet,Online Gift Vouchers platform,Mumbai,Udisclosed Ivestors,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
973,06-09-2016,Bigstylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Ifo Edge (Idia) Ltd,Private Equity,900,79200,No Remark,Tier 1 India,1,0
974,07-09-2016,Zilingo,E-Commerce,Online Fashion Retailer,Bengaluru,"Veturra Capital, Sequoia Idia, Susquehaa Iteratioal Group. Wavemaker Parters, Beeext, Beeos, Digital Garage",Private Equity,8000,704000,No Remark,Tier 1 India,6,1
975,07-09-2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
976,07-09-2016,Simplilearn,Edtech,Online Certification programs,Bengaluru,IoVe Capital Idia,Private Equity,6000,528000,No Remark,Tier 1 India,1,1
977,07-09-2016,Prozo,E-Commerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Saileder Solaki, Rajiv Solaki",Seed Funding,315,27720,No Remark,Tier 1 India,3,0
978,08-09-2016,Toprankers,Edtech,Online Test Preparation platform,Bengaluru,"CareerNet Cosultig Pvt. Ltd, Ideatio Iitiative Pvt. Ltd,",Seed Funding,670,58960,No Remark,Tier 1 India,2,0
979,08-09-2016,Buildtraders,E-Commerce,Online Construction Materials Marketplace,Bengaluru,Idei Vetures,Seed Funding,200,17600,No Remark,Tier 1 India,1,0
980,09-09-2016,Byju S,Edtech,Online Learning App,Bengaluru,"Cha Zuckerberg Iitiative, Times Iteret Ltd, Sequoia Capital, Sofia, Lightspeed Vetures",Private Equity,50000,4400000,No Remark,Tier 1 India,5,1
981,10-09-2016,Cureinstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,150,13200,No Remark,Tier 1 India,1,0
982,10-09-2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,450,39600,No Remark,Tier 1 India,2,0
983,12-09-2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augmet Vetures, Rahul Kaya, Nikhil Golcha, Shubham Gupta, Roy Kwa",Seed Funding,448,39424,No Remark,Tier 1 India,5,0
984,12-09-2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
985,12-09-2016,Nykaa,E-Commerce,Online Beauty products eTailer,Mumbai,"Suil Mujal, Mariwala family",Private Equity,12300,1082400,No Remark,Tier 1 India,2,1
986,12-09-2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirai, Aqeel Ahmed, Aad Ladsariya, Niti Agarwal",Seed Funding,300,26400,No Remark,Tier 1 India,4,0
987,13-09-2016,Nearbuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,2500,220000,No Remark,Tier 1 India,1,1
988,14-09-2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,"Balasubramaia Krishamurthy, Sidhartha Hazarika & Others",Seed Funding,150,13200,No Remark,Tier 1 India,2,0
989,15-09-2016,Infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jai, Palash Jai, Aupam Mittal, Ameera Shah, Vivek Bhargava, Rahul Sigh, Ambarish Gupta,",Seed Funding,200,17600,No Remark,Tier 1 India,7,0
990,15-09-2016,Furlenco,E-Commerce,Online furniture rental startup,Bengaluru,Lightbox Vetures ad others,Private Equity,5000,440000,No Remark,Tier 1 India,1,1
991,15-09-2016,Gopigeon,Consumer Internet,on-demand logistics service provider,Bengaluru,Nexus Veture Parters,Private Equity,1500,132000,No Remark,Tier 1 India,1,1
992,16-09-2016,Newsdistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Gaesh Narasimha, Ramaa Thumu, Sudhir Mallem",Seed Funding,100,8800,No Remark,Tier 1 India,3,0
993,16-09-2016,Doctorinsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoudGlass Parters,Private Equity,1000,88000,No Remark,Tier 1 India,1,0
994,19-09-2016,Milofy,Consumer Internet,Couple Socialization App,Bengaluru,Accel Parters,Seed Funding,750,66000,No Remark,Tier 1 India,1,0
995,19-09-2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bengaluru,Bessemer Veture Parters,Private Equity,15000,1320000,No Remark,Tier 1 India,1,1
996,20-09-2016,Justlikenew,E-Commerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVeture,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
997,21-09-2016,Co Life,Consumer Internet,shared living and working spaces platform,Bengaluru,Udisclosed Ivestors,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
998,21-09-2016,Pepperfry,E-Commerce,Furniture eTailer,Mumbai,"Goldma Sachs Group, Zodius Techology Fud, Norwest Veture Parters, Bertelsma Idia",Private Equity,31300,2754400,No Remark,Tier 1 India,4,1
999,21-09-2016,Equickies,E-Commerce,Online Book etailer,Ahmedabad,Lothal Agel Vetures,Seed Funding,298,26224,No Remark,Tier 2/3 India,1,0
1000,21-09-2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Aglia Omega Network,Seed Funding,350,30800,No Remark,Tier 1 India,1,0
1001,22-09-2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,6000,528000,No Remark,Tier 1 India,1,1
1002,22-09-2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bengaluru,Rebright Parters,Seed Funding,425,37400,No Remark,Tier 1 India,1,0
1003,22-09-2016,Hashtaag,Technology,Mobile App Development company,Bengaluru,Udisclosed ivestors,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
1004,22-09-2016,Pharmarack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fud, Uicor Idia Vetures",Private Equity,745,65560,No Remark,Tier 1 India,2,0
1005,23-09-2016,Cloudcherry,Technology,CRM SAAS Platform,Chennai,"Vertex Vetures, Cisco Vetures, IDG Vetures",Private Equity,6000,528000,No Remark,Tier 1 India,3,1
1006,27-09-2016,Tinystep,Consumer Internet,Parenting Network Platform,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,1580,139040,No Remark,Tier 1 India,1,1
1007,28-09-2016,Beardo,E-Commerce,Mens Grooming products etailer,Ahmedabad,Veture Catalysts,Seed Funding,500,44000,No Remark,Tier 2/3 India,1,0
1008,28-09-2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,1000,88000,No Remark,Tier 2/3 India,1,0
1009,28-09-2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Ediya Parters,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
1010,28-09-2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia Idia, EDBI, Blue Cloud Vetures, Hercules Capital",Private Equity,51000,4488000,No Remark,Tier 1 India,4,1
1011,29-09-2016,Promon,E-Commerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,180,15840,No Remark,Tier 1 India,1,0
1012,29-09-2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,"Blume Vetures, Mumbai Agels, ah! Vetures, Digital Currecy Group, Boost VC, Bak to the Future ad Fuders Club",Private Equity,1500,132000,No Remark,Tier 1 India,6,1
1013,30-09-2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavi Turakhia,Private Equity,19000,1672000,No Remark,Tier 1 India,1,1
1014,01-08-2016,Healthkart,E-Commerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital Idia, Omidyar Network, Kae Capital",Private Equity,12000,1056000,No Remark,Tier 1 India,3,1
1015,01-08-2016,Medinfi,Consumer Internet,Doctor & Clinic\\\\xc2\\\\xa0 Discovery Platform,Bengaluru,"Mudit Saxea, Eva Lim",Seed Funding,200,17600,No Remark,Tier 1 India,2,0
1016,01-08-2016,Repaireasy,Consumer Internet,Gadget Repair Services Platform,Pune,Udisclosed HNIs,Seed Funding,275,24200,No Remark,Tier 1 India,1,0
1017,01-08-2016,Voonik,E-Commerce,Online Women\\\\xe2\\\\x80\\\\x99s Fashion Marketplace,Bengaluru,IoVe Capital,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
1018,01-08-2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500,220000,No Remark,Tier 1 India,1,1
1019,02-08-2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Parters, The HR Fud, Rajul Garg, Quitillio Media",Private Equity,1800,158400,No Remark,Tier 1 India,4,1
1020,02-08-2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Biy Basal, Aupam Mittal, Sachi Bhatia, Darius Padole, Kual Khattar, Dheerag Jai",Seed Funding,1000,88000,No Remark,Tier 1 India,6,0
1021,03-08-2016,Extracarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brad Capital,Seed Funding,225,19800,No Remark,Tier 1 India,1,0
1022,03-08-2016,Flickbay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,890,78320,No Remark,Tier 1 India,1,0
1023,04-08-2016,Petoo,Consumer Internet,Food Delivery Platform,Bengaluru,Existig Ivestors,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1024,06-08-2016,Vst Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27,2376,No Remark,Other,1,0
1025,08-08-2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Compay Ltd.,Seed Funding,40,3520,No Remark,Tier 1 India,1,0
1026,08-08-2016,Mojarto,E-Commerce,"Original Art, Digital Prints etailer",Gurgaon,Udisclosed Ivestors,Seed Funding,445,39160,No Remark,Tier 1 India,1,0
1027,08-08-2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd fudig),Seed Funding,200,17600,No Remark,Tier 1 India,1,0
1028,10-08-2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,"Aupam Mittal, Sharad Sharma & 14 others",Seed Funding,500,44000,No Remark,Tier 1 India,2,0
1029,10-08-2016,Bombay Shaving Company,E-Commerce,Men\\\\xe2\\\\x80\\\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramaia Ramadorai, Kira Deshpade, Pakaj Gupta, Ravi Nigam & Others",Seed Funding,600,52800,No Remark,Tier 1 India,5,0
1030,11-08-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,"Gujarat Veture Fiace Limited (GVFL), Beett Colema & Co. Ltd",Private Equity,7000,616000,No Remark,Tier 1 India,2,1
1031,11-08-2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfudig),Seed Funding,209,18392,No Remark,Tier 1 India,1,0
1032,11-08-2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Veture Parters, Accel Idia",Private Equity,15000,1320000,No Remark,Tier 1 India,2,1
1033,12-08-2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Sighal, Rohit Jai, Himashu Aggrawal, Suil Goyal Ashish Gupta,",Private Equity,1500,132000,No Remark,Tier 1 India,4,1
1034,12-08-2016,Faircent.Com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brad Capital,Private Equity,1500,132000,No Remark,Tier 1 India,1,1
1035,12-08-2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Parters,Private Equity,15600,1372800,No Remark,Tier 1 India,1,1
1036,12-08-2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Udisclosed Ivestors,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1037,16-08-2016,Oyorooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBak Group,Private Equity,62000,5456000,No Remark,Tier 1 India,1,1
1038,16-08-2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tecet Holdigs, Foxco Techology Group, Tiger Global, SoftBak Group, Bharti Eterprises",Private Equity,175000,15400000,No Remark,Tier 1 India,5,1
1039,16-08-2016,Joolz,E-Commerce,Online Jewellery Store,Mumbai,"Powerhouse Vetures, M&S Parters",Private Equity,500,44000,No Remark,Tier 1 India,2,0
1040,16-08-2016,Salebhai,E-Commerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brad Capital,Private Equity,1500,132000,No Remark,Tier 2/3 India,1,1
1041,16-08-2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Aad Chadrasekara, Aath Narayaa, Meki Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Compay Ltd",Seed Funding,250,22000,No Remark,Tier 1 India,6,0
1042,17-08-2016,Maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swa Agel Network,Sachi Khadelwal ad others",Seed Funding,375,33000,No Remark,Tier 2/3 India,2,0
1043,17-08-2016,Appknox,Technology,Mobile security solutions,Bengaluru,"SeedPlus, Ifocomm Ivestmets, Accel Parters RNT Associates",Private Equity,675,59400,No Remark,Tier 1 India,3,0
1044,19-08-2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brad Capital,Private Equity,20000,1760000,No Remark,Tier 1 India,1,1
1045,19-08-2016,Digio,Technology,Aadhar based Document Signing platform,Bengaluru,Raimatter,Private Equity,375,33000,No Remark,Tier 1 India,1,0
1046,22-08-2016,Puro Wellness,Health & Wellness,"Organic,\\\\xc2\\\\xa0 Natural\\\\xc2\\\\xa0 Food substitute manufacturer",Mumbai,Torret Group,Private Equity,37000,3256000,No Remark,Tier 1 India,1,1
1047,23-08-2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,100,8800,No Remark,Tier 1 India,2,0
1048,23-08-2016,Octo.Ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Vetures, Jaspreet Bidra, Arju Malhotra, Roha Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200,17600,No Remark,Tier 1 India,6,0
1049,24-08-2016,Unaacademy,Consumer Internet,Free Interactive education platform,Bengaluru,"Blume Vetures, Sachi Basal, Vijay Shekhar Sharma, Biy Basal, Kual Shah, Sadeep Tado, Ashish Tulsia",Private Equity,1000,88000,No Remark,Tier 1 India,7,0
1050,24-08-2016,Advenio,Technology,Clinical Imaging Solution Provider,Chennai,Kalaari Capital,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
1051,24-08-2016,Guarented,E-Commerce,Home Furnishing rental marketplace,Bengaluru,Kalaari Capital,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1052,24-08-2016,Uber Dreams,E-Commerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvai,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1053,24-08-2016,Convegenius,Edtech,Edutainment platform,Noida,Michael ad Susa Dell Foudatio,Private Equity,900,79200,No Remark,Tier 1 India,1,0
1054,24-08-2016,Urbanladder,E-Commerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
1055,25-08-2016,Cult,Health & Wellness,Health and Fitness Centres,Bengaluru,CureFit,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
1056,25-08-2016,Zoomcar,Consumer Internet,Self-driven car booking platform,Bengaluru,Ford Smart Mobility Llc,Private Equity,24000,2112000,No Remark,Tier 1 India,1,1
1057,26-08-2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Istalabs,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1058,26-08-2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Techologies Ic,Private Equity,40000,3520000,No Remark,Tier 1 India,1,1
1059,26-08-2016,Mydidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Udisclosed Ex Mckisey Directors ad Parters,Seed Funding,550,48400,No Remark,Tier 1 India,1,0
1060,29-08-2016,Loantap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Padey, Jaysukh Sapra",Private Equity,3000,264000,No Remark,Tier 1 India,2,1
1061,29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bengaluru,"Nexus Veture Parters, Blume Vetures",Private Equity,7000,616000,No Remark,Tier 1 India,2,1
1062,29-08-2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Udisclosed HNI ivestors,Private Equity,1000,88000,No Remark,Tier 1 India,1,0
1063,29-08-2016,Livspace,Consumer Internet,Online portal for Home Design,Bengaluru,"Bessemer Veture Parters, Jugle Vetures, Helio Vetures",Private Equity,15000,1320000,No Remark,Tier 1 India,3,1
1064,30-08-2016,Iaugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajastha Agel Ivestor Network & Others,Seed Funding,149,13112,No Remark,Tier 1 India,1,0
1065,30-08-2016,Daybox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawaia, Rajul Jai, Badal Malick, Rishi Gupta & Others",Seed Funding,104,9152,No Remark,Tier 1 India,4,0
1066,30-08-2016,Paytm,E-Commerce,Mobile Wallet & ECommerce platform,Bengaluru,MediaTek Ic.,Private Equity,60000,5280000,No Remark,Tier 1 India,1,1
1067,30-08-2016,Cropin,Technology,Agriculture Technology Solutions,Bengaluru,Sophia Ivestmet ApS,Private Equity,2000,176000,No Remark,Tier 1 India,1,1
1068,30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bengaluru,Ifo Edge (Idia) Ltd,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
1069,31-08-2016,Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,"IDG Vetures, Sequoia Capital, GREE Vetures",Private Equity,5300,466400,No Remark,Tier 1 India,3,1
1070,01-07-2016,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Vetures,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
1071,02-07-2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,SAIF Parters,Private Equity,700,61600,No Remark,Tier 1 India,1,0
1072,04-07-2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"Accel Parters, IDG Vetures, Kalaari Capital",Private Equity,15000,1320000,No Remark,Tier 1 India,3,1
1073,04-07-2016,Stitchwood,E-Commerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200,17600,No Remark,Tier 1 India,1,0
1074,04-07-2016,Grab.In,Logistics,hyperlocal logistics service,Mumbai,Aramex Vetures Llc,Private Equity,2000,176000,No Remark,Tier 1 India,1,1
1075,04-07-2016,Neogrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Maagemet Seed Veture Fud, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000,1408000,No Remark,Tier 1 India,4,1
1076,05-07-2016,Seedoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Agel Fud & Others,Private Equity,1000,88000,No Remark,Tier 1 India,1,0
1077,05-07-2016,Bookmyshow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Parters, SAIF Parters",Private Equity,82000,7216000,No Remark,Tier 1 India,4,1
1078,05-07-2016,Flyrobe,E-Commerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Basal, Kual Bahl, Sadeep Tado, Kual Shah, Zishaa Hayath, Abhishek Jai",Seed Funding,1700,149600,No Remark,Tier 1 India,7,1
1079,06-07-2016,Happilyunmarried,E-Commerce,Online Merchandize etailer,New Delhi,Ifo Edge (Idia) Ltd,Private Equity,740,65120,No Remark,Tier 1 India,1,0
